"ABSTIMMUNGSTAG","VORLAGE_KURZBEZ","STAT_VORLAGE_ID","ABSTIMMUNGSART_BEZ","ANNEHMENDE_GEBIETE","ABLEHNENDE_GEBIETE","JA_ANTEIL_PROZENT","Policy_Feld"
2003-05-18,"Bundesgesetz über den Bevölkerungsschutz und den Zivilschutz",197,"eidgenössisch",171,0,81.01,"Sicherheit+Armee"
2003-05-18,"Änderung des Bundesgesetzes über die Armee und die Militärverwaltung (Armee XXI)",196,"eidgenössisch",170,1,75.72,"Sicherheit+Armee"
2003-05-18,"Kantonale Steuerinitiative",8,"kantonal",4,167,36.14,"Finanzen"
2003-11-30,"Anerkennungsgesetz",208,"kantonal",8,163,35.94,"Kirche+Staat"
2003-11-30,"Kirchengesetz",207,"kantonal",16,155,45.82,"Kirche+Staat"
2003-11-30,"Kantonsverfassung (Änderung: Aufgabenteilung Kanton/Gemeinden)",205,"kantonal",171,0,83.42,"Demokratie"
2003-11-30,"Kantonsverfassung (Verhältnis zwischen Kirchen/Staat)",206,"kantonal",14,157,44.99,"Kirche+Staat"
2003-11-30,"Polizei- und Justizzentrum Zürich",209,"kantonal",105,66,55.7,"Sicherheit+Armee"
2003-11-30,"Maximalsteuerfuss in der Verfassung",212,"kantonal",8,163,36.23,"Finanzen"
2003-11-30,"Teilrevision der Strafprozessgesetzgebung",211,"kantonal",171,0,76.27,"Sicherheit+Armee"
2003-11-30,"Gesundheitsgesetz",210,"kantonal",14,157,41.12,"Gesundheit"
2003-11-30,"Abschaffung Handänderungssteuer",213,"kantonal",148,23,52.06,"Wirtschaft"
2004-02-08,"Avanti-Gegenvorschlag",214,"eidgenössisch",12,159,37.55,"Andere"
2004-02-08,"Neues Mietrecht",215,"eidgenössisch",45,126,38.69,"Soziales"
2004-02-08,"Verwahrungsinitiative",216,"eidgenössisch",148,23,53.12,"Law+Order"
2004-05-16,"Erhöhung Mehrwertsteuer für AHV/IV",227,"eidgenössisch",2,169,36.59,"Soziales"
2004-05-16,"Steuerpaket",228,"eidgenössisch",34,137,38.86,"Finanzen"
2004-05-16,"11. AHV-Revision",226,"eidgenössisch",20,151,38.91,"Soziales"
2004-05-16,"Wiedereinführung Altersabzug",225,"kantonal",8,163,42.24,"Soziales"
2004-09-26,"Kinderzulagen",237,"kantonal",1,170,34.55,"Soziales"
2004-09-26,"Sanierungsprogramm",236,"kantonal",98,73,51.21,"Andere"
2004-09-26,"Einbürgerung 3. Generation",233,"eidgenössisch",37,134,48.87,"Migrarion"
2004-09-26,"Post-Initiative",234,"eidgenössisch",6,165,42.54,"Andere"
2004-09-26,"Mutterschaftsversicherung",235,"eidgenössisch",74,97,54.5,"Soziales"
2004-09-26,"Einbürgerung 2. Generation",232,"eidgenössisch",16,155,44.37,"Migrarion"
2004-11-28,"Finanzausgleich (NFA)",222,"eidgenössisch",154,17,60.5,"Finanzen"
2004-11-28,"Finanzordnung",223,"eidgenössisch",171,0,77.19,"Finanzen"
2004-11-28,"Stammzellenforschung (StFG)",230,"eidgenössisch",167,4,66.42,"Kirche+Staat"
2005-02-27,"Neue Verfassung",238,"kantonal",139,32,64.24,"Demokratie"
2005-02-27,"Neubau Forensik Rheinau",239,"kantonal",133,38,60.08,"Andere"
2005-06-05,"Schengen/Dublin",240,"eidgenössisch",106,65,58.07,"Migrarion"
2005-06-05,"Partnerschaftsgesetz",241,"eidgenössisch",161,10,64.33,"Kirche+Staat"
2005-06-05,"Volksschulgesetz",242,"kantonal",157,14,70.44,"Bildung"
2005-06-05,"Landschaftsinitiative",243,"kantonal",14,157,44.26,"Umwelt+Verkehr"
2005-09-25,"Personenfreizügigkeit",244,"eidgenössisch",116,52,59.41,"Migrarion"
2005-09-25,"C: Stichfrage Kinderabzüge",247,"kantonal",0,168,35.02,"Andere"
2005-09-25,"B: Gegenvorschlag des Kantonsrates",246,"kantonal",165,3,63.87,"Finanzen"
2005-09-25,"A: Verdoppelung der Kinderabzüge",245,"kantonal",0,168,35.57,"Soziales"
2005-11-27,"Gentechnikfreie Lebensmittel",248,"eidgenössisch",92,76,50.48,"Umwelt+Verkehr"
2005-11-27,"Ladenöffnungszeiten",249,"eidgenössisch",148,20,62.75,"Wirtschaft"
2005-11-27,"Staatsbeiträge an Integrationskurse",250,"kantonal",104,64,58.26,"Migrarion"
2006-05-21,"Neuordnung Bildung",251,"eidgenössisch",168,0,86.04,"Bildung"
2006-05-21,"Universitätsspital Zürich",252,"kantonal",167,1,63.65,"Gesundheit"
2006-05-21,"Kantonsspital Winterthur",253,"kantonal",166,2,63.54,"Gesundheit"
2006-09-24,"Gold für die AHV (Kosa)",254,"eidgenössisch",4,164,40.52,"Soziales"
2006-09-24,"Ausländergesetz",255,"eidgenössisch",165,3,69.08,"Migrarion"
2006-09-24,"Asylgesetz",256,"eidgenössisch",164,4,67.44,"Migrarion"
2006-11-26,"Zusammenarbeit Osteuropa",261,"eidgenössisch",93,75,56.97,"Andere"
2006-11-26,"Familienzulagen",262,"eidgenössisch",167,1,63.92,"Soziales"
2006-11-26,"Nur 1 Fremdsprache Primarschule",263,"kantonal",43,125,41.42,"Bildung"
2007-03-11,"Für eine soziale Einheitskrankenkasse",264,"eidgenössisch",0,168,21.7,"Gesundheit"
2007-06-17,"Ärztliche Zusatzhonorare",266,"kantonal",168,0,75.24,"Gesundheit"
2007-06-17,"""Chancen für Kinder""",269,"kantonal",1,167,33.18,"Soziales"
2007-06-17,"Stichfrage: Ärztliche Zusatzhonorare (% Vorlage 1A)",268,"kantonal",168,0,81.23,"Gesundheit"
2007-06-17,"Gegenvorschlag: Ärztliche Zusatzhonorare",267,"kantonal",0,168,16.69,"Gesundheit"
2007-06-17,"5. IV-Revision",265,"eidgenössisch",164,4,62.96,"Soziales"
2007-11-25,"Tramlinie Zürich-West",272,"kantonal",164,4,69.79,"Umwelt+Verkehr"
2007-11-25,"Änderung Steuergesetz",271,"kantonal",155,13,54.78,"Finanzen"
2007-11-25,"""Für eine realistische Flughafenpolitik""",273,"kantonal",14,154,37.32,"Umwelt+Verkehr"
2007-11-25,"Stichfrage: Flughafen (% Initiative)",275,"kantonal",14,154,36.46,"Umwelt+Verkehr"
2007-11-25,"Gegenvorschlag: Flughafengesetz",274,"kantonal",135,33,63.21,"Soziales"
2008-02-24,"Polizeigesetz (PolG)",278,"kantonal",173,1,74.93,"Sicherheit+Armee"
2008-02-24,"Unternehmenssteuerreform II",277,"eidgenössisch",121,53,50.24,"Finanzen"
2008-02-24,"""Gegen Kampfjetlärm in Tourismusgebieten""",276,"eidgenössisch",1,173,29.21,"Umwelt+Verkehr"
2008-06-01,"""Volkssouveränität statt Behördenpropaganda""",280,"eidgenössisch",0,174,27.84,"Demokratie"
2008-06-01,"""Für demokratische Einbürgerungen""",279,"eidgenössisch",52,122,39.32,"Migrarion"
2008-06-01,"Qualität und Wirtschaftlichkeit in der Krankenversicherung",281,"eidgenössisch",27,147,40.63,"Gesundheit"
2008-09-28,"Gegenvorschlag: Passivrauchen",286,"kantonal",20,154,49.55,"Gesundheit"
2008-09-28,"Volksinitiative: ""Schutz vor Passivrauchen""",285,"kantonal",127,47,56.58,"Gesundheit"
2008-09-28,"Stichfrage: Berufsbildung (% Hauptvorlage 1A)",284,"kantonal",66,108,58.05,"Bildung"
2008-09-28,"Einführungsgesetz über die Berufsbildung (Variante ohne Berufsbildungsfonds)",283,"kantonal",134,40,60.53,"Bildung"
2008-09-28,"Einführungsgesetz über die Berufsbildung (Hauptvorlage mit Berufsbildungsfonds)",282,"kantonal",107,67,59.88,"Bildung"
2008-09-28,"Stichfrage: Passivrauchen (% Volksinitiative 2A)",287,"kantonal",89,85,54.92,"Gesundheit"
2008-11-30,"Für die Unverjährbarkeit pornografischer Straftaten an Kindern",288,"eidgenössisch",159,15,54.42,"Law+Order"
2008-11-30,"Für ein flexibles AHV-Alter",289,"eidgenössisch",3,171,38.83,"Soziales"
2008-11-30,"Einschränkung Verbandsbeschwerde",290,"eidgenössisch",16,158,38.19,"Demokratie"
2008-11-30,"Für eine vernünftige Hanf-Politik mit wirksamem Jugendschutz",291,"eidgenössisch",7,167,43.26,"Gesundheit"
2008-11-30,"Bundesgesetz über die Betäubungsmittel",292,"eidgenössisch",174,0,72.29,"Gesundheit"
2008-11-30,"Mit dem Tram direkt zum Zoo",299,"kantonal",0,174,27.04,"Umwelt+Verkehr"
2008-11-30,"Hundegesetz: Variante mit Kampfhundeverbot",294,"kantonal",147,27,61.13,"Law+Order"
2008-11-30,"Stichfrage: Hundegesetz (% Hauptvorlage 1A)",295,"kantonal",3,171,44.88,"Law+Order"
2008-11-30,"Harmonisierung der obligatorischen Schule",296,"kantonal",131,43,62.37,"Bildung"
2008-11-30,"Schluss mit der Schuldenwirtschaft zu Lasten unserer Kinder",297,"kantonal",19,155,39.65,"Finanzen"
2008-11-30,"Ja zur Wahlfreiheit beim Medikamentenbezug",298,"kantonal",141,33,53.72,"Gesundheit"
2008-11-30,"Hundegesetz: Hauptvorlage",293,"kantonal",174,0,79.89,"Law+Order"
2009-02-08,"Weiterführung des Abkommens über die Personenfreizügigkeit",300,"eidgenössisch",137,37,61.89,"Migrarion"
2009-02-08,"Abschaffung der Pauschalsteuer",301,"kantonal",101,73,52.87,"Finanzen"
2009-05-17,"Zukunft mit Komplementärmedizin",302,"eidgenössisch",172,2,62.36,"Gesundheit"
2009-05-17,"Biometrischer Pass",303,"eidgenössisch",98,76,51.96,"Law+Order"
2009-05-17,"Halbstündliche S-Bahn für Alle",304,"kantonal",13,161,36.57,"Umwelt+Verkehr"
2009-09-27,"Zusatzfinanzierung der Invalidenversicherung",305,"eidgenössisch",76,98,54.84,"Soziales"
2009-09-27,"Verteilung des Fluglärms",307,"kantonal",15,159,24.81,"Umwelt+Verkehr"
2009-09-27,"Verzicht auf die Einführung der allg. Volksinitiative.",306,"eidgenössisch",174,0,71.37,"Demokratie"
2009-11-29,"Verbot von Kriegsmaterial-Exporten",309,"eidgenössisch",3,171,33.9,"Law+Order"
2009-11-29,"Spezialfinanzierung für Luftverkehr",308,"eidgenössisch",174,0,69.15,"Umwelt+Verkehr"
2009-11-29,"Gegen den Bau von Minaretten",310,"eidgenössisch",143,31,51.81,"Kirche+Staat"
2010-03-07,"Forschung am Menschen",311,"eidgenössisch",174,0,77.96,"Kirche+Staat"
2010-03-07,"Tierschutzanwalt-Initiative",312,"eidgenössisch",1,173,36.48,"Andere"
2010-03-07,"Änderung des BVG (Mindestumwandlungssatz)",313,"eidgenössisch",3,171,32.73,"Soziales"
2010-06-13,"Volksinitiative ""Kinderbetreuung Ja""",314,"kantonal",3,171,34.53,"Soziales"
2010-06-13,"Gegenvorschlag: Familienergänzende Betreuung",315,"kantonal",118,56,62.38,"Soziales"
2010-06-13,"Stichfrage: Kinderbetreuung (% Volksinitiative A)",316,"kantonal",1,173,32.25,"Soziales"
2010-09-26,"Revision ALV",317,"eidgenössisch",170,4,59.59,"Soziales"
